Iteration,RedBlackTree Time (ns),NormalBinaryTree Time (ns)
10,233709,112917
210,227583,381291
410,370625,722291
610,94792,882500
810,119500,1331875
1010,158875,1980250
1210,160209,2900333
1410,172000,4203042
1610,195208,5686334
1810,146584,7530125
2010,145459,9234584
2210,152666,13043458
2410,166041,14695084
2610,176958,16458958
2810,236500,19537375
3010,217875,23638500
3210,220459,28585125
3410,268167,28799500
3610,166625,37357417
3810,167583,38528542
4010,180041,43019334
4210,188500,44723458
4410,190834,48992125
4610,188625,53690666
4810,203042,55890041
5010,212791,61622917
5210,219833,69182250
5410,223708,70564625
5610,221666,74279458
5810,241458,75527958
6010,246625,101230417
6210,266625,94192542
6410,255667,98595000
6610,251000,97344208
6810,278083,105151792
7010,285167,113901042
7210,295416,120488875
7410,301416,124786958
7610,317250,138201708
7810,386750,141996666
8010,334875,145379125
8210,334833,162427792
8410,326291,190868209
8610,353584,168740500
8810,367250,177246375
9010,363666,192382084
9210,388084,195400500
9410,392500,230586375
9610,406583,215741208
9810,411250,229270417
10010,416542,251017875
10210,422500,245052666
10410,441750,266083958
10610,435916,260646667
10810,454125,316540291
11010,451333,289341792
11210,464583,304047625
11410,1555834,328688333
11610,485584,320028541
11810,503334,382330958
12010,488167,369186542
12210,475959,369689000
12410,491375,362116750
12610,509084,387173875
12810,529875,407632541
13010,546959,423740333
13210,551542,434453417
13410,510000,489337750
13610,580000,489854875
13810,534583,497613792
14010,568625,504553584
14210,632542,543433625
14410,563209,509241209
14610,565167,537268375
14810,590000,582757083
15010,642917,610906958
15210,636959,632334709
15410,616833,638955709
15610,633375,675556833
15810,631125,630351042
16010,612375,645611500
16210,626500,622916750
16410,728041,679620917
16610,696291,687679667
16810,746042,710018709
17010,718750,787775292
17210,727041,772568417
17410,794333,765205250
17610,752917,767552750
17810,867750,787346834
18010,765042,868342666
18210,798167,846054000
18410,798625,837271666
18610,864416,846253834
18810,787750,938061958
19010,875750,880042916
19210,833792,907938917
19410,842292,983767833
19610,876458,947333000
19810,835792,946491541
20010,831625,1049717875
20210,850208,1062063916
20410,905333,1047450083
20610,862667,1041301583
20810,952250,1073003500
21010,919959,1090926125
21210,890250,1144848125
21410,963041,1210219750
21610,894917,1119391750
21810,915541,1262556375
22010,913209,1193442916
22210,942333,1286952917
22410,961042,1258258750
22610,983584,1220303208
22810,982042,1284764500
23010,983500,1270007625
23210,979750,1362402375
23410,1041083,1338024042
23610,1141625,1391969917
23810,1070000,1426307666
24010,1026500,1372863917
24210,1013250,1513994500
24410,1070291,1519191792
24610,1049833,1537684875
24810,1040166,1492029542
25010,1064625,1580293792
25210,1076416,1617472750
25410,1059917,1582357083
25610,1160750,1716657584
25810,1093875,1713784250
26010,1095791,1708813167
26210,1120667,1686665417
26410,1181417,1647315000
26610,1126625,1959088667
26810,1154791,1830586459
27010,1167000,1852693458
27210,1144959,1904716834
27410,1165500,1866043042
27610,1213000,1873805500
27810,1210875,1869612000
28010,1213042,1905083875
28210,1199375,1948363958
28410,1228500,1984271292
28610,1244500,2087929709
28810,1241584,2127412167
29010,1245000,2163838208
29210,1296917,2187849667
29410,1253458,2208529167
29610,1275166,2155703209
29810,1284708,2155385625
30010,1284583,2205542042
30210,1302667,2159080250
30410,1300416,2232887459
30610,1342333,2326978667
30810,1375708,2370533750
31010,1398584,2384018209
31210,1356125,2439803083
31410,1354625,2545176625
31610,1358875,2392149959
31810,1386333,2479789792
32010,1399542,2557925667
32210,2391541,2539578333
32410,1296834,2559161041
32610,1311958,2452826792
32810,1363709,2540085750
33010,1339542,2609345542
33210,1330541,2773732750
33410,1345875,2662140875
33610,1390375,2673957209
33810,1350875,2800377541
34010,1355000,2726236667
34210,1364375,2802017250
34410,1538125,2902843042
34610,1521791,2805308584
34810,1503959,2913888250
35010,1468292,2882684958
35210,1634917,2984508792
35410,1531667,3056833541
35610,1507084,2989517292
35810,1501667,3171665333
36010,1621750,3043861625
36210,1582375,3103320333
36410,1546000,3115602416
36610,1520250,3226056917
36810,1580542,3163245708
37010,1590791,3280750709
37210,1546000,3322631291
37410,1555167,3503572667
37610,1717958,3405944875
37810,1553667,3450867916
38010,1573541,3549361209
38210,1628500,3429511167
38410,1622250,3573413792
38610,1653375,3616228292
38810,1629583,3530699333
39010,1716833,3679752250
39210,1681958,3714703750
39410,1749083,3667583083
39610,1648584,3652962666
39810,1662125,3836888708
40010,1686792,3788336500
40210,1750792,3743551666
40410,1673291,3804251750
40610,1785583,3928366750
40810,1692416,3996829083
41010,1733709,3971829541
41210,1699250,3996644458
41410,1771250,4013189750
41610,1792000,4150248583
41810,2051542,4325588625
42010,1824917,4157466250
42210,1834458,4259153041
42410,1839875,4241204292
42610,1891708,4373177167
42810,1795292,4304019625
43010,1888750,4334387542
43210,1923708,4399089458
43410,1872875,4495287250
43610,1956500,4529422875
43810,1920167,4524206209
44010,1990875,4500671000
44210,1913167,4671816375
44410,1977250,4604092208
44610,2045917,4702525709
44810,2049458,4733373875
45010,2323709,4945860416
45210,2028458,4876091083
45410,2056834,4923814541
45610,2171000,5022191166
45810,2042958,4859176375
46010,2109458,4992631292
46210,2044708,4978099917
46410,2095625,5112673917
46610,2097083,5154737250
46810,2133125,5570989083
47010,2111250,5249605083
47210,2115000,5290260416
47410,2145667,5455568708
47610,2199625,5397886208
47810,2205667,5303108000
48010,2137500,5476990125
48210,2148792,5537229875
48410,2197500,5543932333
48610,2189667,5517678125
48810,2203125,5712101417
49010,2282000,5545330292
49210,2356167,5856344291
49410,2221625,5813406459
